Dokumen,Term,TF,IDF,TF-IDF
rendy1.txt,garry,1,2.70805020110221,2.70805020110221
rendy1.txt,kasparov,1,2.70805020110221,2.70805020110221
rendy1.txt,judea,1,2.70805020110221,2.70805020110221
rendy1.txt,pearl,1,2.70805020110221,2.70805020110221
rendy1.txt,buku,1,1.6094379124341003,1.6094379124341003
rendy1.txt,serta,1,1.3217558399823195,1.3217558399823195
rendy1.txt,teori,1,2.70805020110221,2.70805020110221
rendy1.txt,probabilitas,1,2.70805020110221,2.70805020110221
rendy1.txt,geoffrey,2,2.70805020110221,5.41610040220442
rendy1.txt,hinton,2,2.70805020110221,5.41610040220442
rendy1.txt,arah,1,2.0149030205422647,2.0149030205422647
rendy1.txt,penting,1,1.3217558399823195,1.3217558399823195
rendy1.txt,komersial,1,2.0149030205422647,2.0149030205422647
rendy1.txt,maju,3,1.3217558399823195,3.9652675199469583
rendy1.txt,cloud,1,2.70805020110221,2.70805020110221
rendy1.txt,daya,1,1.0986122886681098,1.0986122886681098
rendy1.txt,infrastruktur,1,2.0149030205422647,2.0149030205422647
rendy1.txt,mudah,1,1.0986122886681098,1.0986122886681098
rendy1.txt,akses,1,1.0986122886681098,1.0986122886681098
rendy1.txt,sebab,1,1.6094379124341003,1.6094379124341003
rendy1.txt,adopsi,1,1.6094379124341003,1.6094379124341003
rendy1.txt,inovasi,1,1.0986122886681098,1.0986122886681098
rendy1.txt,machine,1,1.6094379124341003,1.6094379124341003
rendy1.txt,liput,1,1.3217558399823195,1.3217558399823195
rendy1.txt,arsitektur,1,2.70805020110221,2.70805020110221
rendy1.txt,konvolusi,1,2.70805020110221,2.70805020110221
rendy1.txt,cnn,1,2.70805020110221,2.70805020110221
rendy1.txt,alexnet,1,2.70805020110221,2.70805020110221
rendy1.txt,alex,1,2.70805020110221,2.70805020110221
rendy1.txt,krizhevsky,1,2.70805020110221,2.70805020110221
rendy1.txt,ilya,1,2.70805020110221,2.70805020110221
rendy1.txt,sutskever,1,2.70805020110221,2.70805020110221
rendy1.txt,menang,1,2.70805020110221,2.70805020110221
rendy1.txt,kompetisi,1,2.70805020110221,2.70805020110221
rendy1.txt,imagenet,1,2.70805020110221,2.70805020110221
rendy1.txt,kuat,1,0.7621400520468967,0.7621400520468967
rendy1.txt,alphazero,1,2.70805020110221,2.70805020110221
rendy1.txt,google,1,2.0149030205422647,2.0149030205422647
